task_id,cache_mode,agent,category,n_runs,n_ok,success_rate,wall_sec.mean,wall_sec.std,metrics.prefill_p50_sec.mean,metrics.prefill_p50_sec.std,metrics.prefill_p95_sec.mean,metrics.prefill_p95_sec.std,metrics.decode_p50_sec.mean,metrics.decode_p50_sec.std,metrics.decode_p95_sec.mean,metrics.decode_p95_sec.std,metrics.ttft_p50_sec.mean,metrics.ttft_p50_sec.std,metrics.ttft_p95_sec.mean,metrics.ttft_p95_sec.std,metrics.tbt_p50_sec.mean,metrics.tbt_p50_sec.std,metrics.tbt_p95_sec.mean,metrics.tbt_p95_sec.std,metrics.e2e_p50_sec.mean,metrics.e2e_p50_sec.std,metrics.e2e_p95_sec.mean,metrics.e2e_p95_sec.std,metrics.prompt_tokens.mean,metrics.prompt_tokens.std,metrics.generation_tokens.mean,metrics.generation_tokens.std,metrics.request_count.mean,metrics.request_count.std,metrics.prefix_cache_hit_rate.mean,metrics.prefix_cache_hit_rate.std,metrics.prompt_tokens_cached.mean,metrics.prompt_tokens_cached.std,metrics.kv_cache_usage_pct_avg.mean,metrics.kv_cache_usage_pct_avg.std,metrics.kv_cache_usage_pct_max.mean,metrics.kv_cache_usage_pct_max.std,metrics.prefill_tps.mean,metrics.prefill_tps.std,metrics.decode_tps.mean,metrics.decode_tps.std
cc_01_code_understand,off,claude_code,understand,3,3,1.0,18.21,3.0372,1.225,0.0771,2.4371,1.6783,1.5417,0.2602,8.8333,0.1443,1.8125,0.1083,3.075,1.1258,,,,,3.25,0.866,8.8333,0.1443,146775.6412,20512.708,2332.1539,132.6335,5.5853,0.7661,,,0.0,0.0,0.0052,0.0019,0.0128,0.0002,4892.5214,683.7569,77.7385,4.4211
cc_01_code_understand,on,claude_code,understand,3,3,1.0,13.5133,2.1893,0.185,0.0043,0.4467,0.0058,1.225,0.4131,8.6667,0.1443,0.1752,0.0004,0.6833,0.0072,,,,,1.5,0.125,8.6667,0.1443,171170.7434,25062.9601,2429.2639,496.7849,6.5195,0.8998,0.902,0.0085,154522.984,24046.1913,0.0053,0.002,0.0129,0.0004,5705.6914,835.432,80.9755,16.5595
cc_02_small_modify,off,claude_code,modify,3,3,1.0,13.98,0.8118,1.15,0.0433,1.465,0.0043,0.8667,0.1155,2.675,1.3645,1.75,0.0,2.425,0.0,,,,,2.0,0.0,4.5,0.2165,196495.3783,10106.1944,1468.0368,119.8916,7.6586,0.3977,,,0.0,0.0,0.0057,0.0015,0.0122,0.0002,6549.8459,336.8731,48.9346,3.9964
cc_02_small_modify,on,claude_code,modify,3,3,1.0,10.15,0.6324,0.1634,0.0117,0.3717,0.0752,0.9056,0.0585,2.1333,0.2036,0.1593,0.0161,0.5131,0.2371,,,,,1.0111,0.0674,2.1333,0.2036,277215.1492,33152.084,1944.488,192.0223,11.3444,1.6521,0.9418,0.0247,261612.648,38283.9568,0.0051,0.0012,0.0128,0.0005,9240.505,1105.0695,64.8163,6.4007
cc_03_bug_fix,off,claude_code,debug,3,3,1.0,19.4967,5.1633,1.2118,0.0421,1.4712,0.0042,0.595,0.221,1.8292,0.0732,1.75,0.0,2.425,0.0,,,,,1.75,0.1654,4.1458,0.3662,290586.2447,30378.5691,1358.7378,328.3661,10.865,1.134,,,0.0,0.0,0.0082,0.0016,0.0131,0.0007,9686.2082,1012.619,45.2913,10.9455
cc_03_bug_fix,on,claude_code,debug,3,3,1.0,10.2,0.7351,0.1656,0.001,0.3933,0.0058,0.5611,0.0839,1.7944,0.4101,0.1775,0.0043,0.6167,0.0072,,,,,0.7817,0.0161,1.9,0.2817,366349.4971,33490.9779,1719.6231,72.3817,13.8563,1.2988,0.936,0.0008,342918.0656,31319.9297,0.0032,0.0015,0.0122,0.0007,12211.6499,1116.3659,57.3208,2.4127
cc_04_refactor_sync_async,off,claude_code,refactor,3,2,0.6666666666666666,153.9667,143.7134,1.4477,0.178,2.0839,0.3496,1.25,0.25,8.6958,1.0411,1.7857,0.0619,2.95,0.9093,,,,,3.4722,0.6365,9.1125,0.3314,695769.8182,266780.1481,8538.7029,3803.7032,20.0611,5.2136,,,0.0,0.0,0.0085,0.0029,0.0193,0.0043,6217.2497,2881.7439,73.5877,28.685
cc_04_refactor_sync_async,on,claude_code,refactor,3,3,1.0,52.9633,31.9334,0.1542,0.0072,0.3917,0.1848,1.0972,0.6798,5.4306,1.8043,0.1757,0.0012,0.363,0.2053,,,,,1.1717,0.6633,5.4494,1.7916,721349.9108,642331.7532,5883.5954,3419.2425,22.6946,15.872,0.9606,0.0278,699003.4304,633123.1372,0.0098,0.0028,0.0164,0.0038,12385.3333,3551.9299,113.6121,2.9206
cc_05_cli_tool,off,claude_code,app_build,3,3,1.0,98.0767,44.4903,1.3786,0.1606,1.8618,0.097,1.3185,0.5953,9.3583,5.9669,1.75,0.0,2.425,0.0,,,,,2.8134,0.3205,10.413,5.5072,911451.4232,565406.6151,7973.7389,2833.1936,27.0768,14.4663,,,0.0,0.0,0.0102,0.0025,0.0167,0.0024,8939.6674,1623.5789,83.9186,9.9344
cc_05_cli_tool,on,claude_code,app_build,3,3,1.0,60.5067,11.3559,0.15,0.0,0.285,0.0,1.1458,0.439,8.8167,6.4003,0.1712,0.0065,0.2421,0.0006,,,,,1.1736,0.4168,8.8167,6.4003,811540.8868,67062.9704,7619.8363,2081.2227,25.9023,3.5185,0.9766,0.0066,792820.9595,70510.794,0.0114,0.001,0.0162,0.0011,14006.3108,3898.9645,125.561,11.4675
